fips,county,certified,certification_date,certification_deadline,meeting_date,meeting_time,broadcast_available,broadcast_platform,broadcast_url,broadcast_meeting_id,in_person_only,broadcast_notes,broadcast_source,ballots_cast,registered_voters,turnout_pct,notes,source_url
13001,Appling,No,,2026-05-25,,,,,,,,,,"3,901",,,"As of May 21, 2026, results on the Georgia Secretary of State portal are still marked 'Unofficial'. No record of a certification vote was found on the county's website. Total ballots cast estimated from the ESPLOST county-wide contest.","[County Elections Page](https://applingcountyga.org/?page_id=149), [State Election Results](https://results.sos.ga.gov/results/public/appling-county-ga/elections/GeneralPrimary51926)"
13003,Atkinson,No,,2026-05-25,,,,,,,,,,,,,"As of May 21, 2026, Atkinson County has not yet posted a notice of certification for the May 19, 2026 General Primary. The statutory deadline for certification is May 25, 2026. Regular board meetings are held on the second Tuesday of each month, with the last occurring on May 12, 2026. No special certification meeting notice was found on the official site.","[County Elections Page](https://atkinsoncounty.org/board-of-elections/), [Public Notices](https://atkinsoncounty.org/public-notices/)"
13005,Bacon,Unknown,,2026-05-25,,,,,,,,,,,"~7,013 (implied)",,"No official announcement of certification or a specific certification meeting for the May 19, 2026 primary was found on the Bacon County website or in local news as of May 21, 2026. The statutory deadline for certification in Georgia is May 25, 2026. Early voting data from Georgia Votes showed 526 ballots cast (7.5% turnout), suggesting approximately 7,013 registered voters.","[Bacon County Voter Registration](https://baconcounty.org/voter-registration.php), [Bacon County Boards Meeting Dates](https://baconcounty.org/uploads/Bacon%20County%20Boards%20meeting%20dates.pdf), [Georgia Votes - Bacon County](https://www.georgiavotes.com/county.php?c=3)"
13007,Baker,Unknown,,2026-05-25,,,,,,,,,,Unknown,Unknown,Unknown,"The official Baker County elections website has not been updated with information regarding the May 19, 2026 primary election; the most recent meeting minutes and agendas available are from 2022. No official announcement or certification document for Baker County, Georgia was found on the county site or through external news sources as of May 21, 2026. The statutory deadline for certification is May 25, 2026.",[County Elections Page](https://www.bakercountyga.com/board-of-elections)
13009,Baldwin,No,,2026-05-25,,,,,,,,,,"7,974 (combined Governor primary votes)",,,"Results are still labeled as 'Unofficial' on the Georgia Secretary of State's election results portal as of May 21, 2026. The most recent update to the Baldwin County results was on election night, May 19, 2026, at 6:10 PM. The statutory deadline for county certification is May 25, 2026.",[County Elections Page](https://results.sos.ga.gov/results/public/baldwin-county-ga/elections/GeneralPrimary51926)
13011,Banks,No,,2026-05-25,2026-05-22,12:00 PM,No,,,,Yes,The meeting agenda and website indicate the meeting will be held in person at the Elections Office with no mention of a livestream or remote option. Past meetings have also been noted as in-person.,"[Meeting Agenda](https://www.bankscountyga.org/DocumentCenter/View/1004/MAY-22-2026-Pre-Certification-AND-CERTIFICATION-Meeting-Agenda), [Elections & Voter Registration](https://www.bankscountyga.org/1307/Elections-Voter-Registration)","3,443",,,"The Board of Elections is scheduled to certify the results during a meeting on Friday, May 22, 2026, at 12:00 PM. Results are currently listed as unofficial and incomplete.","[County Elections Page](https://www.bankscountyga.org/1307/Elections-Voter-Registration), [Certification Meeting Agenda](https://www.bankscountyga.org/DocumentCenter/View/1004/MAY-22-2026-Pre-Certification-AND-CERTIFICATION-Meeting-Agenda)"
13013,Barrow,No,,2026-05-25,2026-05-22,1:00 PM,Unknown,,,,Unknown,"Barrow County Board of Elections meetings are held in person at 233 East Broad Street, Winder, GA. No evidence of a livestream for Board of Elections meetings was found on the county website, Granicus portal, or official Facebook page. Board of Commissioners meetings are recorded and posted to the county's website, but Board of Elections meetings are not listed in the video archives.","[Barrow County Elections & Voter Registration](https://www.barrowga.org/215/Elections-Voter-Registration), [Barrow County Board of Elections & Voter Registration](https://www.barrowga.org/370/Board-of-Elections-Voter-Registration), [Barrow County Granicus Video Portal](https://barrowga.granicus.com/ViewPublisher.php?view_id=1)","27,744 (as of election night unofficial results)","63,257",21.94%,Pre-certification meeting Fri May 22 @ 1:00pm; certification immediately after. Unofficial results posted.,"[County Elections Page](https://www.barrowga.org/215/Elections-Voter-Registration), [Unofficial Results PDF](https://www.barrowga.org/DocumentCenter/View/1613/Unofficial-and-Incomplete-Results---Final-Results---Election-Night)"
13015,Bartow,No,,2026-05-25,2026-05-22,3:00 PM,Unknown,,,,No,No evidence of a livestream for Board of Elections meetings was found on the county's website or social media. Meetings are held in-person at the Board's Office.,[Bartow County Elections](https://www.bartowcountyga.gov/departments/elections/information_about_the_may_19_2026_general_primary_election.php),"17,000+ (estimated from partial results)",,,"Election results are currently marked as 'UNOFFICIAL'. A board meeting is scheduled for Friday, May 22, 2026, at 3:00 PM in the Commissioner's Conference Room, which is likely for certification. Precincts reporting 17/17 as of May 19, 2026.","[County Elections Page](https://www.bartowcountyga.gov/departments/elections/index.php), [Board Meeting Schedule](https://www.bartowcountyga.gov/departments/elections/board_meeting_schedule.php), [Election Results](https://app.enhancedvoting.com/results/public/bartow-county-ga/elections/GeneralPrimary51926)"
13017,Ben Hill,No,,2026-05-25,,,,,,,,,,,,,"As of May 21, 2026, the Ben Hill County elections website has not posted certified results or a notice of certification for the May 19, 2026, General Primary. The statutory deadline for county certification is May 25, 2026.",[County Elections Page](https://www.benhillcounty-ga.gov/business-directory/elections/)
13019,Berrien,No,,2026-05-25,,,,,,,,,,"3,059 (approx. based on candidate totals)","11,749 (as of Nov 2025)",26% (approx. based on ballots cast/registered voters),"As of May 22, 2026: SOS portal still shows UNOFFICIAL RESULTS (last updated election night). No certification announcement on county website. Board meets 3rd Thursdays at 10am. Runoff confirmed for June 16.","[Berrien Elections](https://berriencountygeorgia.com/elections/), [SOS Results](https://results.sos.ga.gov/results/public/berrien-county-ga/elections/GeneralPrimary51926)"
13021,Bibb,No,,2026-05-25,2026-05-22,3:00 PM,Yes,YouTube,[Macon-Bibb County YouTube](https://www.youtube.com/@maconbibbcounty),,No,Macon-Bibb County Board of Elections meetings are typically streamed live on the county's official YouTube channel. Past certification and special meetings from 2026 were archived there.,"[Macon-Bibb County Board of Elections](https://www.maconbibb.us/board-of-elections/), [Macon-Bibb County YouTube Channel](https://www.youtube.com/@maconbibbcounty)","28,809","105,477",27.31%,"A board meeting for the precertification and certification of the May 19, 2026 General Primary is scheduled for Friday, May 22, 2026, at 3:00 PM. Results currently available are marked as 'Unofficial and Incomplete'.","[County Elections Page](https://www.maconbibb.us/board-of-elections/may-19-2026/), [Meeting Agenda](https://www.maconbibb.us/board-of-elections/agendas-minutes/)"
13023,Bleckley,Unknown,,2026-05-25,,,,,,,,,,,,,"The official Bleckley County Board of Elections website provides public notices for the May 19, 2026 primary regarding early processing and computation of returns, but does not yet list an official certification announcement or results. The statutory deadline for county certification is May 25, 2026. A Commissioner meeting was held on May 21, 2026, but the agenda did not include election certification. No specific Board of Elections certification meeting was found on the site.",[County Elections](https://bleckley.org/board-of-elections-and-registration/)
